idade,etnia,genero,casa_propria,outras_rendas,estado_civil,escolaridade,inadimplente
45,Amarelo,Masculino,0,1,Casado,Fundamental,0
19,Amarelo,Masculino,0,0,Casado,Pós-graduação,1
59,Indígena,Masculino,0,0,Divorciado,Pós-graduação,0
62,Indígena,Masculino,1,1,Solteiro,Fundamental,1
23,Indígena,Masculino,1,1,Divorciado,Médio,0
45,Amarelo,Feminino,0,1,Casado,Médio,0
45,Negro,Masculino,0,0,Viúvo,Fundamental,1
61,Indígena,Feminino,1,1,Casado,Superior,1
61,Indígena,Masculino,1,1,Solteiro,Pós-graduação,1
37,Indígena,Masculino,0,0,Divorciado,Superior,1
47,Amarelo,Masculino,1,0,Divorciado,Pós-graduação,0
28,Pardo,Masculino,1,0,Divorciado,Fundamental,0
45,Amarelo,Masculino,1,1,Solteiro,Superior,0
42,Pardo,Masculino,0,1,Casado,Superior,0
56,Amarelo,Feminino,0,0,Casado,Superior,1
50,Negro,Masculino,0,1,Solteiro,Pós-graduação,0
18,Negro,Feminino,0,0,Divorciado,Superior,1
44,Indígena,Masculino,1,0,Viúvo,Superior,1
69,Amarelo,Feminino,0,0,Divorciado,Médio,1
30,Pardo,Masculino,0,1,Casado,Médio,0
58,Pardo,Masculino,1,1,Divorciado,Superior,1
20,Negro,Masculino,1,1,Divorciado,Superior,1
56,Indígena,Feminino,1,1,Casado,Pós-graduação,0
23,Pardo,Masculino,1,0,Casado,Pós-graduação,1
25,Amarelo,Masculino,0,1,Viúvo,Pós-graduação,1
44,Indígena,Feminino,0,0,Casado,Médio,0
26,Amarelo,Masculino,0,1,Viúvo,Superior,0
54,Amarelo,Masculino,1,0,Casado,Superior,1
50,Negro,Masculino,1,0,Solteiro,Fundamental,1
68,Amarelo,Masculino,1,1,Solteiro,Fundamental,0
59,Branco,Feminino,0,1,Solteiro,Pós-graduação,0
61,Indígena,Feminino,1,0,Divorciado,Pós-graduação,1
41,Branco,Masculino,0,0,Viúvo,Fundamental,0
32,Amarelo,Masculino,0,1,Divorciado,Fundamental,1
49,Amarelo,Masculino,1,1,Viúvo,Fundamental,0
49,Negro,Feminino,0,0,Divorciado,Fundamental,0
41,Negro,Feminino,1,1,Viúvo,Médio,0
58,Negro,Masculino,0,1,Solteiro,Médio,0
69,Negro,Feminino,0,0,Casado,Fundamental,0
66,Pardo,Masculino,1,1,Divorciado,Pós-graduação,0
66,Negro,Feminino,1,0,Casado,Superior,0
69,Amarelo,Masculino,1,1,Divorciado,Superior,1
29,Amarelo,Feminino,0,0,Solteiro,Superior,1
56,Indígena,Masculino,0,0,Divorciado,Pós-graduação,0
19,Branco,Feminino,0,0,Viúvo,Pós-graduação,0
20,Pardo,Feminino,0,1,Divorciado,Superior,0
66,Pardo,Feminino,1,0,Casado,Médio,0
54,Indígena,Masculino,0,1,Solteiro,Pós-graduação,0
66,Indígena,Feminino,0,1,Viúvo,Pós-graduação,0
34,Negro,Masculino,0,0,Viúvo,Fundamental,1
66,Indígena,Feminino,0,1,Casado,Pós-graduação,1
19,Pardo,Masculino,0,1,Divorciado,Médio,0
19,Branco,Feminino,1,0,Viúvo,Médio,0
45,Branco,Masculino,0,0,Solteiro,Fundamental,0
40,Pardo,Masculino,0,1,Divorciado,Fundamental,1
54,Negro,Masculino,1,0,Solteiro,Médio,0
49,Branco,Feminino,0,1,Solteiro,Superior,1
50,Branco,Feminino,1,1,Divorciado,Fundamental,1
18,Negro,Feminino,1,0,Viúvo,Fundamental,1
36,Branco,Masculino,1,1,Solteiro,Superior,1
19,Amarelo,Feminino,0,0,Solteiro,Superior,0
61,Pardo,Feminino,0,1,Divorciado,Fundamental,0
43,Branco,Feminino,1,0,Divorciado,Pós-graduação,1
49,Branco,Masculino,1,0,Divorciado,Superior,0
23,Negro,Masculino,0,0,Divorciado,Superior,0
49,Branco,Masculino,1,1,Solteiro,Superior,1
21,Negro,Feminino,1,0,Divorciado,Médio,1
28,Pardo,Feminino,1,1,Divorciado,Fundamental,1
34,Amarelo,Feminino,1,1,Solteiro,Médio,1
55,Indígena,Masculino,1,1,Divorciado,Superior,0
41,Pardo,Feminino,0,0,Divorciado,Pós-graduação,1
22,Branco,Masculino,1,0,Casado,Fundamental,1
69,Amarelo,Masculino,0,1,Viúvo,Superior,1
51,Indígena,Feminino,0,0,Casado,Fundamental,1
23,Indígena,Feminino,1,0,Casado,Médio,1
39,Branco,Masculino,1,0,Divorciado,Fundamental,0
28,Indígena,Feminino,1,1,Casado,Médio,1
65,Indígena,Masculino,0,1,Divorciado,Médio,1
33,Pardo,Masculino,0,1,Casado,Superior,0
50,Pardo,Feminino,1,0,Solteiro,Fundamental,0
26,Indígena,Masculino,1,0,Casado,Superior,1
23,Negro,Feminino,0,0,Solteiro,Médio,1
33,Branco,Feminino,0,1,Solteiro,Médio,1
46,Negro,Feminino,0,1,Solteiro,Médio,1
20,Negro,Masculino,1,1,Viúvo,Pós-graduação,1
37,Indígena,Masculino,1,1,Casado,Médio,0
53,Branco,Feminino,1,0,Divorciado,Fundamental,0
36,Negro,Feminino,1,1,Viúvo,Médio,1
43,Pardo,Masculino,0,0,Casado,Médio,0
20,Pardo,Masculino,1,1,Viúvo,Fundamental,1
36,Branco,Feminino,1,0,Divorciado,Superior,1
37,Negro,Feminino,0,0,Casado,Médio,1
49,Amarelo,Feminino,1,0,Viúvo,Superior,0
24,Amarelo,Masculino,0,1,Casado,Médio,1
69,Branco,Feminino,0,0,Viúvo,Fundamental,0
58,Branco,Masculino,0,1,Casado,Fundamental,0
50,Amarelo,Masculino,0,0,Casado,Superior,0
57,Negro,Masculino,0,0,Divorciado,Pós-graduação,1
56,Negro,Masculino,0,0,Viúvo,Superior,0
35,Indígena,Masculino,1,0,Casado,Fundamental,1
57,Branco,Feminino,0,0,Solteiro,Fundamental,1
18,Negro,Masculino,1,0,Viúvo,Superior,0
28,Amarelo,Masculino,1,1,Casado,Fundamental,1
45,Amarelo,Feminino,1,0,Viúvo,Pós-graduação,1
42,Pardo,Feminino,1,1,Solteiro,Pós-graduação,1
67,Negro,Masculino,0,0,Solteiro,Fundamental,0
40,Indígena,Feminino,0,1,Casado,Médio,1
48,Indígena,Masculino,1,0,Divorciado,Médio,0
47,Branco,Masculino,0,1,Casado,Pós-graduação,1
59,Pardo,Feminino,0,1,Casado,Médio,1
52,Amarelo,Feminino,0,0,Casado,Superior,1
24,Amarelo,Masculino,0,1,Divorciado,Superior,1
33,Branco,Feminino,0,0,Divorciado,Pós-graduação,1
43,Indígena,Feminino,0,1,Viúvo,Pós-graduação,0
65,Indígena,Masculino,1,0,Divorciado,Pós-graduação,0
69,Amarelo,Masculino,0,1,Casado,Pós-graduação,0
66,Branco,Feminino,1,0,Divorciado,Médio,1
19,Negro,Masculino,0,1,Viúvo,Fundamental,1
18,Pardo,Feminino,1,0,Viúvo,Superior,0
65,Indígena,Masculino,1,0,Divorciado,Fundamental,1
29,Indígena,Feminino,1,0,Viúvo,Pós-graduação,0
22,Indígena,Feminino,1,1,Divorciado,Médio,1
54,Negro,Masculino,1,0,Solteiro,Pós-graduação,1
49,Negro,Masculino,1,0,Divorciado,Superior,1
26,Pardo,Masculino,1,0,Divorciado,Médio,0
58,Indígena,Masculino,1,0,Viúvo,Fundamental,1
52,Amarelo,Masculino,1,0,Casado,Superior,1
36,Indígena,Masculino,1,0,Casado,Fundamental,0
65,Pardo,Feminino,1,1,Divorciado,Médio,0
33,Pardo,Feminino,1,0,Divorciado,Pós-graduação,0
20,Amarelo,Feminino,0,1,Divorciado,Superior,1
37,Negro,Masculino,0,1,Casado,Médio,1
41,Amarelo,Feminino,0,1,Viúvo,Fundamental,0
50,Pardo,Masculino,1,1,Casado,Médio,1
41,Amarelo,Masculino,0,0,Viúvo,Médio,1
69,Indígena,Feminino,1,1,Divorciado,Fundamental,1
28,Pardo,Masculino,1,0,Solteiro,Fundamental,0
66,Negro,Feminino,1,0,Viúvo,Fundamental,0
25,Negro,Feminino,0,0,Casado,Superior,0
53,Amarelo,Masculino,1,0,Divorciado,Superior,0
55,Amarelo,Masculino,0,1,Casado,Fundamental,0
57,Amarelo,Feminino,0,0,Viúvo,Fundamental,0
37,Indígena,Feminino,0,0,Viúvo,Fundamental,1
52,Negro,Masculino,0,0,Divorciado,Pós-graduação,0
65,Pardo,Masculino,1,0,Casado,Fundamental,1
42,Pardo,Feminino,1,1,Viúvo,Superior,0
52,Negro,Masculino,1,1,Casado,Médio,1
42,Amarelo,Masculino,0,0,Casado,Superior,1
46,Branco,Masculino,0,0,Divorciado,Pós-graduação,0
35,Amarelo,Masculino,0,1,Divorciado,Fundamental,0
63,Negro,Feminino,0,0,Casado,Superior,0
35,Indígena,Masculino,0,1,Solteiro,Pós-graduação,0
19,Amarelo,Masculino,1,0,Divorciado,Fundamental,1
52,Pardo,Feminino,1,1,Divorciado,Superior,1
33,Indígena,Masculino,1,1,Viúvo,Médio,0
58,Negro,Feminino,1,0,Viúvo,Superior,0
53,Branco,Masculino,0,0,Viúvo,Médio,0
50,Amarelo,Feminino,1,1,Divorciado,Pós-graduação,1
21,Indígena,Feminino,0,0,Divorciado,Médio,1
50,Indígena,Masculino,0,0,Solteiro,Fundamental,0
31,Pardo,Feminino,1,1,Casado,Fundamental,1
38,Amarelo,Feminino,0,0,Casado,Pós-graduação,0
65,Branco,Masculino,0,0,Casado,Superior,0
37,Indígena,Feminino,0,1,Casado,Médio,1
25,Pardo,Masculino,1,1,Divorciado,Pós-graduação,0
24,Amarelo,Feminino,0,0,Divorciado,Superior,1
20,Amarelo,Masculino,0,1,Solteiro,Médio,0
34,Branco,Masculino,0,0,Divorciado,Pós-graduação,0
50,Pardo,Masculino,1,0,Casado,Médio,0
65,Branco,Feminino,0,1,Divorciado,Pós-graduação,0
29,Indígena,Masculino,1,1,Casado,Pós-graduação,1
68,Negro,Masculino,1,0,Solteiro,Superior,0
39,Negro,Feminino,0,0,Viúvo,Pós-graduação,0
39,Branco,Feminino,1,0,Divorciado,Superior,1
63,Branco,Feminino,0,1,Casado,Pós-graduação,1
47,Negro,Feminino,0,1,Solteiro,Superior,0
55,Indígena,Masculino,0,0,Divorciado,Superior,0
55,Branco,Masculino,1,0,Solteiro,Médio,1
62,Indígena,Masculino,1,0,Casado,Médio,0
68,Indígena,Feminino,0,0,Solteiro,Superior,0
25,Pardo,Feminino,1,0,Viúvo,Superior,0
44,Indígena,Feminino,0,1,Divorciado,Fundamental,0
44,Amarelo,Masculino,1,0,Divorciado,Superior,0
51,Negro,Masculino,0,1,Viúvo,Superior,0
38,Negro,Masculino,1,0,Casado,Médio,0
47,Branco,Feminino,0,1,Casado,Médio,0
50,Branco,Masculino,1,1,Casado,Superior,0
45,Pardo,Feminino,1,0,Viúvo,Fundamental,1
64,Pardo,Feminino,0,0,Viúvo,Fundamental,1
50,Amarelo,Masculino,0,0,Viúvo,Médio,0
22,Branco,Masculino,1,0,Casado,Médio,1
65,Negro,Masculino,1,1,Divorciado,Pós-graduação,1
36,Amarelo,Feminino,1,0,Viúvo,Pós-graduação,0
21,Branco,Feminino,0,0,Solteiro,Médio,0
52,Amarelo,Feminino,1,1,Casado,Médio,1
66,Indígena,Masculino,1,0,Divorciado,Fundamental,0
34,Indígena,Feminino,1,1,Viúvo,Fundamental,0
61,Amarelo,Masculino,0,1,Viúvo,Médio,0
45,Branco,Masculino,1,0,Divorciado,Superior,0
47,Indígena,Feminino,0,1,Divorciado,Superior,1
46,Indígena,Feminino,0,1,Divorciado,Médio,0
63,Amarelo,Feminino,0,0,Solteiro,Superior,1
23,Indígena,Feminino,0,0,Casado,Médio,1
52,Negro,Masculino,1,0,Casado,Superior,0
58,Indígena,Feminino,1,1,Casado,Médio,0
54,Amarelo,Masculino,1,0,Casado,Superior,1
41,Indígena,Masculino,0,1,Solteiro,Pós-graduação,0
46,Indígena,Masculino,1,1,Divorciado,Fundamental,1
66,Pardo,Feminino,0,0,Solteiro,Médio,0
63,Amarelo,Masculino,1,1,Viúvo,Médio,0
48,Amarelo,Masculino,0,1,Casado,Médio,0
52,Pardo,Feminino,1,1,Divorciado,Superior,1
50,Pardo,Masculino,1,1,Viúvo,Pós-graduação,1
69,Negro,Feminino,0,0,Solteiro,Médio,0
38,Indígena,Feminino,0,0,Divorciado,Pós-graduação,1
49,Branco,Feminino,0,0,Casado,Fundamental,0
40,Branco,Feminino,0,0,Casado,Pós-graduação,0
50,Pardo,Feminino,0,0,Divorciado,Pós-graduação,0
20,Amarelo,Masculino,1,0,Casado,Pós-graduação,1
35,Amarelo,Masculino,0,0,Solteiro,Médio,0
42,Negro,Masculino,0,0,Solteiro,Fundamental,0
59,Branco,Feminino,0,0,Viúvo,Pós-graduação,1
48,Amarelo,Feminino,0,0,Casado,Superior,0
20,Negro,Feminino,0,0,Viúvo,Pós-graduação,1
57,Negro,Masculino,1,1,Viúvo,Superior,1
63,Pardo,Masculino,0,0,Casado,Pós-graduação,0
41,Branco,Masculino,0,1,Viúvo,Pós-graduação,1
67,Negro,Feminino,1,1,Divorciado,Pós-graduação,0
49,Negro,Feminino,0,0,Divorciado,Superior,0
64,Negro,Masculino,1,0,Divorciado,Fundamental,1
39,Branco,Masculino,0,0,Solteiro,Pós-graduação,1
40,Pardo,Masculino,0,1,Divorciado,Pós-graduação,1
19,Indígena,Masculino,1,0,Casado,Superior,0
44,Amarelo,Feminino,1,0,Solteiro,Médio,1
59,Branco,Feminino,0,0,Casado,Médio,1
19,Branco,Feminino,0,1,Divorciado,Fundamental,1
43,Branco,Masculino,1,0,Viúvo,Médio,0
34,Indígena,Feminino,0,1,Casado,Médio,1
57,Amarelo,Masculino,0,1,Casado,Médio,0
50,Amarelo,Masculino,1,0,Casado,Fundamental,1
26,Negro,Feminino,0,1,Casado,Médio,1
60,Negro,Feminino,0,0,Divorciado,Médio,1
65,Pardo,Feminino,1,0,Casado,Superior,0
56,Branco,Masculino,1,1,Casado,Superior,0
46,Pardo,Feminino,1,0,Divorciado,Médio,1
59,Branco,Masculino,1,0,Solteiro,Pós-graduação,0
43,Amarelo,Feminino,0,0,Viúvo,Médio,1
52,Pardo,Masculino,0,0,Divorciado,Fundamental,0
67,Amarelo,Masculino,1,0,Casado,Fundamental,1
42,Negro,Masculino,0,0,Viúvo,Fundamental,0
41,Amarelo,Feminino,0,0,Solteiro,Superior,1
30,Indígena,Feminino,0,1,Solteiro,Superior,0
24,Pardo,Masculino,0,1,Divorciado,Superior,1
53,Branco,Feminino,0,1,Casado,Pós-graduação,1
62,Amarelo,Feminino,1,0,Divorciado,Fundamental,0
37,Pardo,Feminino,0,1,Solteiro,Superior,0
18,Branco,Feminino,1,1,Solteiro,Pós-graduação,0
25,Pardo,Masculino,0,1,Solteiro,Pós-graduação,0
63,Pardo,Feminino,0,1,Divorciado,Pós-graduação,0
33,Indígena,Masculino,1,1,Viúvo,Superior,1
31,Amarelo,Feminino,1,0,Solteiro,Médio,1
29,Indígena,Masculino,1,1,Casado,Fundamental,1
68,Negro,Masculino,0,1,Solteiro,Fundamental,1
40,Pardo,Feminino,0,0,Viúvo,Fundamental,1
32,Amarelo,Masculino,1,1,Casado,Superior,1
45,Negro,Feminino,1,1,Casado,Superior,0
51,Negro,Feminino,1,1,Viúvo,Fundamental,0
19,Indígena,Masculino,1,0,Solteiro,Médio,1
49,Negro,Masculino,1,1,Viúvo,Fundamental,1
40,Branco,Feminino,0,0,Solteiro,Pós-graduação,0
39,Branco,Masculino,1,1,Divorciado,Fundamental,1
68,Branco,Masculino,1,0,Divorciado,Pós-graduação,1
42,Negro,Masculino,1,0,Solteiro,Médio,1
39,Pardo,Feminino,0,1,Solteiro,Médio,0
39,Amarelo,Masculino,1,1,Solteiro,Pós-graduação,1
66,Branco,Masculino,0,0,Casado,Fundamental,0
69,Branco,Feminino,0,0,Divorciado,Médio,0
59,Branco,Feminino,1,1,Casado,Superior,1
23,Indígena,Masculino,1,1,Casado,Pós-graduação,1
32,Indígena,Masculino,1,1,Divorciado,Pós-graduação,1
60,Branco,Feminino,1,0,Solteiro,Fundamental,1
54,Branco,Masculino,1,0,Solteiro,Superior,0
50,Indígena,Feminino,1,0,Solteiro,Fundamental,1
25,Amarelo,Masculino,1,0,Divorciado,Pós-graduação,1
61,Pardo,Masculino,1,1,Viúvo,Fundamental,0
61,Amarelo,Feminino,0,1,Divorciado,Fundamental,0
22,Pardo,Masculino,1,1,Casado,Pós-graduação,1
56,Negro,Masculino,1,0,Casado,Médio,1
21,Negro,Feminino,0,0,Solteiro,Superior,0
23,Amarelo,Masculino,0,1,Casado,Superior,0
62,Indígena,Feminino,0,0,Viúvo,Fundamental,1
49,Branco,Masculino,0,1,Solteiro,Médio,0
69,Negro,Masculino,0,1,Casado,Pós-graduação,0
47,Indígena,Masculino,0,0,Divorciado,Fundamental,0
64,Indígena,Feminino,0,1,Viúvo,Pós-graduação,0
52,Pardo,Masculino,1,1,Casado,Médio,0
57,Negro,Masculino,0,0,Solteiro,Médio,1
69,Amarelo,Masculino,0,0,Casado,Superior,1
33,Indígena,Feminino,1,1,Viúvo,Médio,1
30,Amarelo,Masculino,1,1,Divorciado,Superior,0
67,Amarelo,Masculino,1,1,Casado,Médio,1
59,Negro,Feminino,0,0,Solteiro,Médio,0
47,Amarelo,Masculino,1,1,Casado,Médio,0
36,Amarelo,Masculino,1,1,Divorciado,Médio,0
34,Branco,Feminino,1,1,Casado,Médio,0
36,Amarelo,Masculino,1,1,Solteiro,Pós-graduação,0
45,Branco,Masculino,0,1,Solteiro,Médio,1
