idade,renda,etnia,genero,casa_propria,outras_rendas,estado_civil,escolaridade,inadimplente
25,6567,Pardo,Feminino,0,1,Viúvo,Médio,0
31,1539,Negro,Feminino,1,0,Viúvo,Médio,0
40,8291,Negro,Masculino,0,1,Solteiro,Superior,0
57,6834,Negro,Masculino,1,1,Solteiro,Superior,0
38,4184,Negro,Masculino,0,1,Solteiro,Pós-graduação,0
33,4402,Branco,Masculino,1,1,Casado,Fundamental,0
62,9331,Pardo,Masculino,1,1,Casado,Médio,0
35,7040,Branco,Feminino,0,1,Divorciado,Superior,0
64,8267,Negro,Feminino,0,1,Viúvo,Médio,0
41,4002,Indígena,Feminino,1,0,Solteiro,Fundamental,1
43,6534,Amarelo,Masculino,1,0,Solteiro,Pós-graduação,0
42,8076,Pardo,Masculino,0,0,Viúvo,Médio,1
62,1313,Pardo,Feminino,1,0,Viúvo,Médio,0
58,6069,Branco,Feminino,1,0,Viúvo,Fundamental,0
46,4244,Negro,Masculino,0,1,Divorciado,Pós-graduação,0
32,5943,Negro,Feminino,0,1,Divorciado,Médio,1
62,8671,Branco,Feminino,0,1,Divorciado,Médio,0
18,3717,Pardo,Feminino,1,1,Divorciado,Pós-graduação,1
42,3877,Branco,Feminino,1,0,Solteiro,Médio,0
24,4459,Amarelo,Masculino,0,0,Casado,Pós-graduação,0
26,9137,Pardo,Feminino,0,0,Solteiro,Pós-graduação,0
41,8148,Negro,Feminino,1,0,Casado,Pós-graduação,1
18,2667,Indígena,Feminino,1,1,Solteiro,Pós-graduação,0
61,7538,Indígena,Feminino,0,0,Solteiro,Superior,0
25,6925,Pardo,Masculino,0,0,Divorciado,Superior,0
41,9580,Pardo,Feminino,1,0,Viúvo,Médio,1
28,8783,Negro,Masculino,0,1,Solteiro,Pós-graduação,0
68,2915,Indígena,Feminino,0,0,Divorciado,Médio,0
34,8594,Branco,Feminino,0,0,Solteiro,Superior,1
25,6285,Branco,Masculino,1,0,Viúvo,Pós-graduação,1
52,6879,Branco,Feminino,0,0,Viúvo,Fundamental,0
52,1337,Branco,Feminino,1,0,Viúvo,Médio,0
50,2662,Indígena,Feminino,0,1,Viúvo,Superior,1
22,5044,Indígena,Masculino,1,0,Divorciado,Fundamental,1
59,8841,Negro,Feminino,0,1,Solteiro,Médio,0
56,1728,Pardo,Feminino,1,1,Divorciado,Fundamental,1
58,3417,Indígena,Masculino,0,0,Casado,Superior,1
45,7616,Indígena,Masculino,1,0,Viúvo,Superior,1
24,5601,Pardo,Masculino,1,1,Viúvo,Médio,0
26,3536,Amarelo,Feminino,1,0,Solteiro,Fundamental,1
25,8970,Branco,Feminino,0,1,Casado,Superior,1
29,2088,Indígena,Masculino,0,0,Solteiro,Fundamental,1
51,7568,Indígena,Masculino,0,0,Casado,Médio,0
50,8831,Branco,Feminino,0,1,Viúvo,Médio,0
65,2925,Indígena,Masculino,0,1,Casado,Pós-graduação,1
40,3159,Pardo,Feminino,1,1,Divorciado,Médio,0
41,3253,Indígena,Masculino,0,0,Casado,Fundamental,1
54,3680,Negro,Masculino,0,0,Solteiro,Fundamental,1
52,9018,Indígena,Masculino,1,1,Divorciado,Médio,1
61,9543,Branco,Masculino,1,1,Solteiro,Superior,1
57,4500,Pardo,Feminino,1,0,Viúvo,Fundamental,1
39,9144,Indígena,Masculino,0,0,Divorciado,Médio,1
44,3130,Amarelo,Feminino,1,0,Divorciado,Médio,1
52,9605,Pardo,Masculino,0,1,Casado,Médio,1
18,1878,Pardo,Feminino,0,1,Divorciado,Superior,1
52,1620,Amarelo,Feminino,1,1,Viúvo,Médio,1
54,3217,Indígena,Feminino,0,0,Casado,Fundamental,1
64,4765,Negro,Masculino,0,1,Divorciado,Superior,1
31,3001,Branco,Masculino,1,1,Viúvo,Fundamental,0
20,8642,Pardo,Feminino,1,1,Solteiro,Médio,1
18,5812,Negro,Masculino,1,1,Casado,Médio,0
22,1890,Branco,Masculino,1,0,Casado,Médio,0
43,3325,Branco,Masculino,1,1,Divorciado,Médio,1
31,8953,Indígena,Feminino,1,1,Casado,Superior,1
56,8172,Negro,Masculino,1,0,Divorciado,Médio,0
44,5365,Pardo,Feminino,0,0,Casado,Superior,1
26,8893,Pardo,Masculino,1,1,Solteiro,Fundamental,0
32,3170,Indígena,Masculino,0,1,Casado,Pós-graduação,1
32,5185,Pardo,Feminino,1,1,Divorciado,Fundamental,0
43,8728,Branco,Feminino,0,1,Solteiro,Pós-graduação,1
59,4601,Indígena,Masculino,1,1,Solteiro,Superior,1
30,9688,Branco,Masculino,0,1,Divorciado,Médio,1
68,4253,Branco,Masculino,0,1,Casado,Pós-graduação,0
49,3821,Amarelo,Masculino,1,0,Casado,Pós-graduação,1
56,7802,Amarelo,Masculino,1,0,Casado,Pós-graduação,1
66,7953,Indígena,Feminino,0,0,Solteiro,Pós-graduação,1
69,9144,Branco,Masculino,0,1,Solteiro,Superior,1
49,3200,Indígena,Masculino,0,1,Solteiro,Pós-graduação,1
21,2164,Amarelo,Feminino,0,0,Viúvo,Pós-graduação,0
47,6593,Indígena,Masculino,1,1,Divorciado,Superior,0
54,1707,Negro,Masculino,0,0,Viúvo,Médio,1
40,4813,Indígena,Feminino,1,0,Viúvo,Médio,1
56,5780,Negro,Feminino,1,1,Casado,Superior,0
62,8469,Indígena,Feminino,0,0,Solteiro,Fundamental,1
32,5105,Negro,Masculino,0,0,Divorciado,Fundamental,1
60,1941,Negro,Masculino,0,0,Casado,Fundamental,0
46,4346,Negro,Masculino,0,0,Divorciado,Fundamental,1
53,2237,Negro,Feminino,0,1,Casado,Pós-graduação,1
30,9579,Pardo,Masculino,0,0,Divorciado,Superior,1
49,5893,Pardo,Masculino,0,1,Solteiro,Médio,0
24,2371,Indígena,Masculino,0,1,Solteiro,Pós-graduação,1
68,8020,Amarelo,Feminino,1,0,Divorciado,Médio,1
39,4671,Branco,Feminino,0,1,Viúvo,Pós-graduação,1
45,6047,Pardo,Feminino,1,1,Casado,Médio,1
19,3009,Negro,Masculino,1,1,Casado,Superior,1
59,7011,Pardo,Feminino,0,0,Casado,Superior,1
62,1601,Negro,Masculino,0,0,Solteiro,Superior,1
23,7347,Amarelo,Feminino,1,0,Divorciado,Fundamental,0
45,1890,Pardo,Masculino,0,1,Divorciado,Pós-graduação,0
45,5510,Branco,Masculino,0,1,Viúvo,Fundamental,1
61,2189,Branco,Feminino,0,1,Casado,Pós-graduação,0
61,2792,Pardo,Feminino,0,0,Divorciado,Superior,1
37,8380,Pardo,Masculino,0,0,Viúvo,Médio,1
47,7762,Branco,Feminino,0,1,Solteiro,Pós-graduação,1
28,7290,Amarelo,Feminino,1,1,Casado,Pós-graduação,0
45,1624,Indígena,Feminino,1,0,Casado,Fundamental,0
42,5235,Pardo,Feminino,1,1,Divorciado,Médio,0
56,3896,Pardo,Feminino,0,1,Viúvo,Fundamental,1
50,3429,Branco,Feminino,0,1,Divorciado,Médio,1
18,8662,Branco,Masculino,1,1,Divorciado,Fundamental,1
44,9635,Branco,Masculino,0,1,Divorciado,Médio,1
69,4555,Branco,Masculino,0,0,Viúvo,Fundamental,1
30,9087,Pardo,Masculino,0,0,Casado,Pós-graduação,1
58,5798,Negro,Feminino,0,0,Viúvo,Médio,0
20,4445,Branco,Masculino,0,0,Divorciado,Fundamental,0
56,5820,Amarelo,Feminino,1,1,Viúvo,Médio,0
23,7856,Amarelo,Masculino,1,1,Divorciado,Superior,1
25,2446,Pardo,Masculino,0,0,Divorciado,Superior,1
44,7518,Branco,Feminino,1,1,Casado,Médio,1
26,3061,Indígena,Masculino,0,0,Divorciado,Fundamental,0
54,6271,Branco,Feminino,1,0,Viúvo,Médio,0
50,7854,Pardo,Masculino,1,0,Viúvo,Pós-graduação,0
68,8897,Indígena,Masculino,0,0,Divorciado,Pós-graduação,0
59,7810,Pardo,Feminino,0,0,Divorciado,Médio,1
61,6283,Negro,Masculino,1,1,Casado,Médio,0
41,8451,Amarelo,Masculino,0,0,Divorciado,Fundamental,0
32,2061,Pardo,Masculino,1,1,Viúvo,Médio,1
49,4899,Branco,Feminino,0,0,Solteiro,Fundamental,0
49,2058,Branco,Masculino,0,0,Solteiro,Pós-graduação,0
41,1674,Pardo,Masculino,1,0,Viúvo,Superior,1
58,1576,Amarelo,Masculino,1,0,Solteiro,Médio,0
69,5131,Pardo,Feminino,0,0,Divorciado,Pós-graduação,1
66,5544,Pardo,Masculino,1,1,Divorciado,Fundamental,1
66,7223,Branco,Masculino,0,1,Casado,Pós-graduação,1
69,8119,Branco,Masculino,0,1,Casado,Fundamental,1
29,4487,Branco,Feminino,0,1,Viúvo,Pós-graduação,1
56,4530,Amarelo,Feminino,0,1,Casado,Pós-graduação,1
19,6839,Branco,Masculino,0,1,Divorciado,Superior,0
20,2012,Indígena,Feminino,0,1,Viúvo,Fundamental,0
66,1510,Indígena,Masculino,1,0,Viúvo,Superior,1
54,3323,Pardo,Masculino,1,0,Solteiro,Fundamental,0
66,4851,Pardo,Masculino,0,1,Divorciado,Médio,0
34,8465,Negro,Feminino,1,1,Solteiro,Pós-graduação,1
66,4815,Indígena,Masculino,0,0,Solteiro,Pós-graduação,1
19,5469,Amarelo,Masculino,1,1,Solteiro,Pós-graduação,1
19,8390,Pardo,Feminino,1,0,Viúvo,Médio,1
45,7993,Pardo,Feminino,1,1,Divorciado,Médio,1
40,7963,Amarelo,Feminino,1,1,Solteiro,Médio,1
54,1378,Indígena,Feminino,0,0,Solteiro,Superior,0
49,5682,Negro,Masculino,1,0,Casado,Fundamental,1
50,7630,Amarelo,Feminino,0,1,Solteiro,Médio,0
18,4328,Negro,Masculino,1,1,Casado,Pós-graduação,1
36,3963,Negro,Feminino,1,0,Viúvo,Fundamental,0
19,3585,Pardo,Feminino,0,0,Solteiro,Fundamental,0
61,3228,Indígena,Masculino,1,1,Divorciado,Pós-graduação,0
43,1782,Negro,Masculino,1,1,Casado,Superior,1
49,4731,Amarelo,Masculino,1,1,Divorciado,Fundamental,0
23,7239,Indígena,Feminino,1,1,Solteiro,Fundamental,1
49,7075,Branco,Masculino,0,1,Solteiro,Pós-graduação,1
21,3397,Branco,Feminino,1,0,Solteiro,Pós-graduação,1
28,9127,Amarelo,Feminino,0,0,Divorciado,Médio,1
34,9495,Branco,Masculino,1,0,Casado,Fundamental,1
55,9757,Indígena,Feminino,1,0,Viúvo,Superior,0
41,5179,Indígena,Feminino,1,0,Solteiro,Fundamental,0
22,7026,Pardo,Feminino,1,1,Divorciado,Pós-graduação,0
69,9306,Indígena,Masculino,1,0,Divorciado,Fundamental,1
51,4697,Negro,Masculino,0,1,Divorciado,Médio,1
23,2167,Pardo,Masculino,1,0,Solteiro,Superior,0
39,1441,Negro,Feminino,1,1,Divorciado,Pós-graduação,0
28,7032,Indígena,Feminino,0,0,Divorciado,Fundamental,0
65,4225,Pardo,Feminino,1,1,Solteiro,Pós-graduação,1
33,3896,Amarelo,Feminino,1,0,Divorciado,Pós-graduação,0
50,4684,Amarelo,Feminino,1,0,Solteiro,Fundamental,1
26,3341,Amarelo,Masculino,1,1,Casado,Médio,1
23,3235,Pardo,Feminino,0,0,Viúvo,Fundamental,1
33,3311,Indígena,Feminino,1,0,Casado,Fundamental,0
46,5687,Indígena,Feminino,0,0,Solteiro,Médio,1
20,7945,Pardo,Masculino,1,0,Solteiro,Superior,1
37,8676,Pardo,Masculino,0,0,Viúvo,Pós-graduação,1
53,6804,Branco,Feminino,0,1,Viúvo,Pós-graduação,0
36,1975,Branco,Feminino,1,1,Divorciado,Superior,1
43,8008,Pardo,Feminino,0,0,Solteiro,Fundamental,0
20,6751,Amarelo,Feminino,1,0,Solteiro,Médio,0
36,2956,Indígena,Masculino,0,0,Divorciado,Médio,0
37,5817,Amarelo,Feminino,0,0,Viúvo,Fundamental,1
49,6909,Negro,Masculino,1,1,Viúvo,Médio,1
24,2473,Negro,Feminino,0,0,Solteiro,Fundamental,1
69,4235,Negro,Feminino,1,0,Solteiro,Superior,1
58,8143,Amarelo,Masculino,1,0,Casado,Superior,0
50,8981,Branco,Masculino,0,0,Divorciado,Médio,0
57,6362,Negro,Feminino,1,1,Casado,Fundamental,1
56,7223,Pardo,Feminino,1,0,Divorciado,Superior,0
35,5796,Indígena,Masculino,0,1,Casado,Médio,0
57,8621,Branco,Feminino,1,0,Casado,Médio,0
18,8189,Negro,Feminino,1,1,Solteiro,Fundamental,0
28,1336,Indígena,Feminino,1,1,Divorciado,Fundamental,1
45,9221,Indígena,Feminino,1,0,Viúvo,Superior,1
42,3980,Branco,Masculino,1,1,Viúvo,Médio,1
67,6937,Amarelo,Feminino,0,1,Solteiro,Superior,1
40,2193,Indígena,Masculino,1,0,Viúvo,Superior,1
48,7220,Branco,Feminino,0,0,Casado,Pós-graduação,0
47,1436,Negro,Feminino,1,0,Casado,Pós-graduação,1
59,2789,Branco,Feminino,1,1,Divorciado,Médio,0
52,3798,Amarelo,Masculino,1,0,Divorciado,Pós-graduação,0
24,1650,Negro,Masculino,0,1,Solteiro,Pós-graduação,0
33,6183,Amarelo,Feminino,0,0,Viúvo,Superior,0
43,8166,Indígena,Feminino,1,1,Solteiro,Fundamental,0
65,7411,Branco,Masculino,0,0,Divorciado,Fundamental,1
69,2915,Pardo,Feminino,0,0,Casado,Médio,0
66,6587,Amarelo,Feminino,0,1,Viúvo,Médio,1
19,7146,Branco,Feminino,1,1,Casado,Fundamental,1
18,3718,Pardo,Masculino,1,0,Divorciado,Médio,0
65,4149,Pardo,Feminino,0,0,Solteiro,Superior,1
29,2418,Branco,Masculino,0,0,Viúvo,Superior,1
22,5764,Negro,Masculino,1,0,Casado,Pós-graduação,1
54,8180,Pardo,Masculino,0,0,Casado,Pós-graduação,1
49,8864,Branco,Masculino,1,1,Casado,Médio,1
26,8724,Branco,Feminino,1,1,Casado,Médio,1
58,3235,Negro,Masculino,1,0,Divorciado,Superior,1
52,7404,Branco,Feminino,0,1,Viúvo,Pós-graduação,1
36,8943,Amarelo,Masculino,0,1,Divorciado,Superior,0
65,5710,Amarelo,Feminino,1,0,Viúvo,Superior,1
33,3286,Negro,Masculino,1,1,Solteiro,Médio,0
20,5939,Indígena,Masculino,0,1,Viúvo,Fundamental,0
37,3392,Branco,Feminino,1,0,Divorciado,Médio,1
41,4754,Amarelo,Feminino,0,0,Casado,Médio,1
50,2068,Amarelo,Feminino,0,0,Viúvo,Fundamental,1
41,4404,Branco,Feminino,1,0,Divorciado,Médio,0
69,5689,Branco,Masculino,1,0,Divorciado,Superior,1
28,1422,Pardo,Feminino,1,0,Solteiro,Pós-graduação,0
66,3730,Negro,Feminino,0,0,Casado,Médio,0
25,6593,Pardo,Masculino,1,0,Casado,Médio,0
53,2131,Negro,Feminino,0,0,Solteiro,Médio,1
55,4949,Pardo,Masculino,0,1,Divorciado,Fundamental,1
57,7074,Negro,Masculino,1,0,Viúvo,Médio,1
37,3129,Branco,Feminino,1,0,Divorciado,Médio,1
52,1586,Negro,Masculino,1,1,Divorciado,Superior,1
65,7941,Amarelo,Masculino,1,1,Solteiro,Médio,0
42,9321,Indígena,Feminino,1,0,Viúvo,Médio,1
52,1585,Amarelo,Masculino,0,0,Casado,Fundamental,0
42,7643,Negro,Masculino,1,1,Solteiro,Fundamental,1
46,3203,Negro,Feminino,0,0,Viúvo,Médio,0
35,1902,Negro,Masculino,0,1,Casado,Pós-graduação,1
63,2697,Indígena,Masculino,1,0,Solteiro,Pós-graduação,1
35,5305,Indígena,Feminino,0,0,Viúvo,Pós-graduação,0
19,8403,Pardo,Feminino,1,0,Viúvo,Fundamental,1
52,6382,Negro,Feminino,1,1,Divorciado,Superior,0
33,6443,Pardo,Feminino,0,0,Solteiro,Fundamental,1
58,8009,Amarelo,Masculino,0,1,Casado,Superior,0
53,4415,Indígena,Feminino,1,0,Divorciado,Superior,0
50,8200,Branco,Masculino,0,1,Solteiro,Pós-graduação,1
21,7215,Indígena,Masculino,0,1,Divorciado,Pós-graduação,0
50,3213,Pardo,Masculino,0,0,Divorciado,Superior,1
31,4671,Branco,Feminino,1,0,Viúvo,Pós-graduação,0
38,4308,Branco,Masculino,1,1,Viúvo,Superior,0
65,2651,Branco,Feminino,1,0,Solteiro,Superior,0
37,3171,Indígena,Feminino,0,0,Casado,Superior,1
25,3765,Negro,Feminino,0,1,Viúvo,Fundamental,0
24,5102,Branco,Masculino,1,0,Casado,Superior,1
20,7174,Amarelo,Masculino,1,0,Viúvo,Fundamental,0
34,8301,Amarelo,Masculino,0,1,Viúvo,Pós-graduação,1
50,7206,Branco,Feminino,1,0,Viúvo,Superior,1
65,2618,Amarelo,Masculino,0,0,Solteiro,Fundamental,1
29,9441,Amarelo,Masculino,0,1,Viúvo,Fundamental,1
68,9399,Amarelo,Feminino,0,0,Divorciado,Fundamental,1
39,9107,Pardo,Feminino,1,0,Divorciado,Superior,0
39,4523,Pardo,Feminino,0,0,Casado,Superior,1
63,9748,Amarelo,Masculino,1,1,Solteiro,Pós-graduação,0
47,3534,Negro,Masculino,0,0,Divorciado,Fundamental,1
55,4168,Amarelo,Feminino,0,1,Viúvo,Superior,0
55,2677,Pardo,Masculino,0,0,Divorciado,Pós-graduação,0
62,6454,Branco,Feminino,1,1,Solteiro,Superior,0
68,2012,Amarelo,Feminino,0,0,Casado,Pós-graduação,0
25,2860,Indígena,Feminino,1,0,Viúvo,Superior,0
44,7981,Pardo,Feminino,0,1,Casado,Médio,0
44,2643,Pardo,Feminino,0,0,Divorciado,Pós-graduação,1
51,3108,Pardo,Feminino,1,1,Casado,Pós-graduação,0
38,4765,Branco,Masculino,1,1,Viúvo,Médio,1
47,4675,Indígena,Masculino,0,1,Viúvo,Médio,1
50,3937,Indígena,Feminino,0,0,Solteiro,Médio,0
45,3394,Indígena,Masculino,1,1,Divorciado,Médio,0
64,6283,Pardo,Feminino,1,0,Divorciado,Pós-graduação,0
50,3459,Amarelo,Feminino,0,0,Divorciado,Fundamental,0
22,4736,Amarelo,Masculino,0,0,Solteiro,Superior,1
65,7918,Indígena,Masculino,0,0,Viúvo,Pós-graduação,1
36,8147,Pardo,Masculino,0,0,Divorciado,Pós-graduação,1
21,1789,Amarelo,Masculino,0,0,Casado,Superior,1
52,5040,Negro,Masculino,1,1,Divorciado,Pós-graduação,1
66,7669,Amarelo,Masculino,1,1,Divorciado,Superior,0
34,8452,Amarelo,Feminino,1,1,Casado,Fundamental,1
61,2660,Negro,Feminino,1,1,Solteiro,Fundamental,1
45,3957,Amarelo,Feminino,1,1,Divorciado,Médio,1
47,6676,Branco,Feminino,1,0,Viúvo,Pós-graduação,1
46,6418,Pardo,Feminino,1,1,Viúvo,Pós-graduação,1
63,3031,Branco,Masculino,1,0,Divorciado,Superior,0
23,4469,Branco,Masculino,1,1,Casado,Médio,1
52,1643,Pardo,Masculino,1,1,Viúvo,Médio,1
58,2533,Branco,Feminino,0,0,Viúvo,Superior,1
54,4764,Amarelo,Masculino,0,0,Divorciado,Superior,1
41,7187,Indígena,Masculino,0,1,Solteiro,Pós-graduação,0
46,7669,Indígena,Masculino,1,1,Divorciado,Fundamental,0
66,3943,Branco,Masculino,1,0,Casado,Pós-graduação,0
63,8125,Indígena,Masculino,0,1,Viúvo,Fundamental,1
48,6684,Branco,Feminino,1,1,Casado,Médio,1
52,2326,Pardo,Masculino,1,1,Casado,Superior,1
50,5843,Negro,Masculino,0,1,Divorciado,Pós-graduação,0
69,1315,Branco,Masculino,1,1,Viúvo,Pós-graduação,0
38,5297,Negro,Feminino,0,0,Viúvo,Médio,1
49,8029,Amarelo,Feminino,0,0,Casado,Pós-graduação,0
40,5102,Pardo,Masculino,1,0,Divorciado,Pós-graduação,1
50,6274,Indígena,Feminino,0,1,Divorciado,Superior,0
20,2284,Branco,Masculino,0,0,Casado,Superior,0
35,4043,Branco,Feminino,1,0,Solteiro,Superior,1
42,1930,Amarelo,Feminino,0,0,Divorciado,Superior,1
59,8905,Pardo,Feminino,1,0,Divorciado,Médio,0
48,7162,Negro,Feminino,0,0,Solteiro,Médio,1
20,8613,Pardo,Feminino,1,1,Divorciado,Pós-graduação,1
57,5839,Amarelo,Masculino,1,0,Solteiro,Pós-graduação,0
63,5229,Negro,Feminino,1,1,Viúvo,Pós-graduação,0
41,3892,Negro,Masculino,0,0,Divorciado,Médio,1
67,2834,Branco,Masculino,1,1,Divorciado,Médio,1
49,8536,Branco,Masculino,0,1,Solteiro,Superior,0
64,2202,Pardo,Feminino,0,1,Casado,Médio,0
39,6633,Negro,Masculino,1,0,Solteiro,Médio,1
40,4331,Branco,Feminino,0,0,Solteiro,Fundamental,1
19,2764,Negro,Masculino,0,1,Viúvo,Fundamental,1
44,1862,Negro,Feminino,1,0,Casado,Médio,1
59,1985,Indígena,Feminino,1,0,Casado,Pós-graduação,1
19,9070,Branco,Feminino,1,1,Divorciado,Pós-graduação,0
43,5707,Branco,Feminino,0,1,Casado,Médio,1
34,4574,Branco,Feminino,0,0,Casado,Superior,1
57,6303,Indígena,Feminino,0,1,Divorciado,Fundamental,0
50,5537,Amarelo,Feminino,0,1,Casado,Fundamental,0
26,6599,Indígena,Feminino,0,0,Solteiro,Superior,0
60,6290,Amarelo,Masculino,0,0,Divorciado,Superior,0
65,9124,Pardo,Feminino,1,1,Divorciado,Médio,1
56,6976,Branco,Masculino,0,1,Casado,Médio,0
46,8957,Amarelo,Feminino,1,0,Viúvo,Fundamental,0
59,8681,Negro,Feminino,1,1,Divorciado,Fundamental,1
43,3265,Amarelo,Masculino,1,1,Viúvo,Superior,1
52,3706,Amarelo,Masculino,1,1,Viúvo,Fundamental,0
67,3400,Negro,Feminino,1,0,Viúvo,Fundamental,0
42,4133,Pardo,Feminino,1,0,Solteiro,Fundamental,0
41,3839,Branco,Feminino,1,1,Solteiro,Pós-graduação,0
30,8854,Indígena,Feminino,1,1,Casado,Pós-graduação,1
24,5483,Pardo,Masculino,1,0,Solteiro,Fundamental,1
53,8269,Indígena,Masculino,1,0,Viúvo,Superior,0
62,3636,Indígena,Feminino,0,1,Casado,Fundamental,1
37,1768,Pardo,Feminino,0,0,Casado,Pós-graduação,0
18,3882,Amarelo,Masculino,0,0,Casado,Fundamental,0
25,7250,Pardo,Masculino,1,1,Casado,Pós-graduação,1
63,3849,Indígena,Feminino,1,0,Solteiro,Pós-graduação,1
33,5479,Pardo,Feminino,1,0,Viúvo,Pós-graduação,1
